out_units,lr,optimizer,p_dropout,epochs,use_early_stopping,activation_function,batch_size,momentum,l2_reg,outer_fold,inner_fold,inner_train_loss,inner_eval_loss
4,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,1,4,0.061,0.066
8,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,1,4,0.021,0.054
8,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,1,4,0.054,0.062
8,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,1,4,0.015,0.045
8,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,1,4,0.055,0.062
8,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,1,4,0.014,0.063
8,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,1,4,0.055,0.062
8,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,1,4,0.013,0.068
8,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,1,4,0.054,0.061
12,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,1,4,0.013,0.051
12,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,1,4,0.053,0.061
12,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,1,4,0.013,0.05
12,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,1,4,0.053,0.062
12,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,1,4,0.008,0.059
12,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,1,4,0.054,0.061
12,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,1,4,0.008,0.062
12,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,1,4,0.054,0.063
16,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,1,4,0.009,0.054
16,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,1,4,0.054,0.061
16,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,1,4,0.01,0.05
16,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,1,4,0.053,0.061
16,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,1,4,0.006,0.057
16,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,1,4,0.055,0.062
16,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,1,4,0.007,0.058
16,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,1,4,0.053,0.062
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,2,1,0.026,0.049
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,2,1,0.059,0.062
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,2,1,0.022,0.048
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,2,1,0.059,0.063
4,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,2,1,0.022,0.059
4,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,2,1,0.06,0.062
4,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,2,1,0.021,0.053
4,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,2,1,0.058,0.063
8,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,2,1,0.017,0.05
8,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,2,1,0.058,0.064
8,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,2,1,0.016,0.052
8,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,2,1,0.056,0.062
8,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,2,1,0.014,0.056
8,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,2,1,0.057,0.061
8,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,2,1,0.013,0.054
8,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,2,1,0.056,0.061
12,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,2,1,0.014,0.054
12,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,2,1,0.056,0.062
12,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,2,1,0.013,0.049
12,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,2,1,0.054,0.061
12,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,2,1,0.008,0.054
12,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,2,1,0.056,0.062
12,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,2,1,0.009,0.069
12,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,2,1,0.055,0.062
16,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,2,1,0.01,0.052
16,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,2,1,0.056,0.061
16,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,2,1,0.01,0.053
16,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,2,1,0.055,0.061
16,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,2,1,0.008,0.061
16,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,2,1,0.057,0.061
16,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,2,1,0.006,0.058
16,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,2,1,0.055,0.061
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,2,2,0.03,0.038
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,2,2,0.061,0.058
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,2,2,0.029,0.045
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,2,2,0.061,0.059
4,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,2,2,0.024,0.046
4,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,2,2,0.061,0.059
4,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,2,2,0.024,0.047
4,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,2,2,0.06,0.058
8,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,2,2,0.019,0.043
8,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,2,2,0.061,0.058
8,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,2,2,0.016,0.042
8,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,2,2,0.06,0.059
8,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,2,2,0.015,0.053
8,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,2,2,0.059,0.058
8,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,2,2,0.013,0.051
8,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,2,2,0.06,0.059
12,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,2,2,0.015,0.046
12,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,2,2,0.058,0.057
12,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,2,2,0.015,0.046
12,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,2,2,0.062,0.059
12,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,2,2,0.01,0.054
12,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,2,2,0.059,0.057
12,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,2,2,0.011,0.056
12,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,2,2,0.059,0.057
16,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,2,2,0.011,0.046
16,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,2,2,0.058,0.057
16,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,2,2,0.011,0.044
16,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,2,2,0.058,0.057
16,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,2,2,0.006,0.055
16,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,2,2,0.057,0.056
16,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,2,2,0.008,0.05
16,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,2,2,0.058,0.056
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,2,3,0.025,0.039
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,2,3,0.062,0.058
